Id,X,Y
0,453879.0,2026305.0
1,394605.0,2078253.0
2,393606.0,2052612.0
3,485181.0,2011320.0
4,507825.0,2000997.0
5,521811.0,1996335.0
6,538794.0,1996002.0
7,551115.0,1996335.0
8,569430.0,1995669.0
9,580086.0,1995336.0
10,591741.0,1993005.0
11,594738.0,1991340.0
12,591075.0,2003661.0
13,597735.0,2021310.0
14,594072.0,2028636.0
15,591741.0,1977687.0
16,593406.0,1961370.0
17,593739.0,1956375.0
18,589077.0,1945386.0
19,588744.0,1928736.0
20,590409.0,1912752.0
21,586413.0,1903095.0
22,567099.0,1900098.0
23,550782.0,1899432.0
24,534798.0,1898100.0
25,519147.0,1897101.0
26,503829.0,1896435.0
27,480186.0,1899765.0
28,448551.0,1911087.0
29,419580.0,1920744.0
30,611388.0,2173158.0
31,609057.0,2143188.0
32,613053.0,2117214.0
33,618381.0,2101896.0
34,625374.0,2085579.0
35,624708.0,2070261.0
36,627705.0,2053611.0
37,632700.0,2037627.0
38,633699.0,2029302.0
39,638361.0,2026971.0
40,656010.0,2025639.0
41,654345.0,2028969.0
42,653013.0,2031966.0
43,658341.0,2020977.0
44,665667.0,2004993.0
45,666000.0,1992006.0
46,663336.0,1981350.0
47,668331.0,1968030.0
48,669663.0,1958373.0
49,656343.0,1965366.0
50,635697.0,1967364.0
51,635697.0,1979352.0
52,635697.0,1992006.0
53,635364.0,2005326.0
54,634032.0,1621377.0
55,643356.0,1640691.0
56,641358.0,1665333.0
57,641691.0,1694970.0
58,654345.0,1729935.0
59,667665.0,1761570.0
60,671328.0,1784880.0
61,671328.0,1801197.0
62,671328.0,1811187.0
63,674658.0,1817514.0
64,681318.0,1826172.0
65,649683.0,1806525.0
66,601731.0,1792872.0
67,585414.0,1791540.0
68,569430.0,1791207.0
69,553113.0,1785213.0
70,545454.0,1781217.0
71,538461.0,1778553.0
72,513819.0,1766232.0
73,482850.0,1745919.0
74,451548.0,1741257.0
75,484515.0,1644687.0
76,502164.0,1659006.0
77,527472.0,1693305.0
78,547452.0,1719279.0
79,546786.0,1750581.0
80,548118.0,1797867.0
81,553113.0,1814517.0
82,554778.0,1830501.0
83,570096.0,1847151.0
84,583749.0,1857807.0
85,589410.0,1864134.0
86,589743.0,1880451.0
87,604062.0,1870461.0
88,611388.0,1874457.0
89,626706.0,1884780.0
90,624375.0,1897101.0
91,622044.0,1913418.0
92,621045.0,1919745.0
93,614052.0,1920744.0
94,611388.0,1920744.0
95,614385.0,1914750.0
96,629703.0,1924407.0
97,646020.0,1924740.0
98,621711.0,1930068.0
99,608391.0,1945386.0
100,597735.0,1953045.0
101,659340.0,1924740.0
102,664668.0,1924407.0
103,677655.0,1926072.0
104,691974.0,1927404.0
105,697302.0,1926405.0
106,692640.0,1935729.0
107,682650.0,1945719.0
108,673659.0,1955043.0
109,697968.0,1918746.0
110,698967.0,1915749.0
111,692640.0,1913085.0
112,679320.0,1908090.0
113,662670.0,1901097.0
114,647019.0,1893438.0
115,631035.0,1884780.0
116,631035.0,1882782.0
117,647352.0,1876122.0
118,654345.0,1866132.0
119,667998.0,1852146.0
120,688644.0,1819512.0
121,698301.0,1815849.0
122,714618.0,1816182.0
123,715950.0,1816182.0
124,727272.0,1816182.0
125,745920.0,1814517.0
126,772560.0,1813185.0
127,794538.0,1813851.0
128,788877.0,1785546.0
129,788544.0,1749582.0
130,795537.0,1710954.0
131,717282.0,1786878.0
132,717948.0,1783215.0
133,716283.0,1800531.0
134,716616.0,1839492.0
135,703629.0,1867797.0
136,693306.0,1850148.0
137,689643.0,1834497.0
138,734265.0,1845819.0
139,757908.0,1828503.0
140,708624.0,1885113.0
141,702963.0,1889442.0
142,703629.0,1879119.0
143,701631.0,1895436.0
144,701631.0,1903095.0
145,701964.0,1909755.0
146,792873.0,1821843.0
147,621378.0,1931400.0
148,628038.0,1974024.0
149,613386.0,1980684.0
150,584082.0,1895769.0
151,598068.0,1910754.0
152,628038.0,1964367.0
153,732267.0,1844487.0
154,758241.0,1825173.0
155,777888.0,1827837.0
156,794538.0,1812186.0
157,703296.0,1867797.0
158,750249.0,1844487.0
159,693639.0,1979352.0
160,686979.0,1976355.0
161,696636.0,1966698.0
162,689643.0,1961703.0
163,699966.0,1950048.0
164,674658.0,1971360.0
165,679653.0,1960371.0
166,659007.0,1970361.0
167,652680.0,1956042.0
168,668997.0,1952379.0
169,669663.0,1936728.0
170,679653.0,1938726.0
171,681318.0,1927737.0
172,682983.0,1949049.0
173,692307.0,1939392.0
174,695637.0,1929069.0
175,704295.0,1938726.0
176,706293.0,1930734.0
177,707625.0,1922742.0
178,681984.0,1916082.0
179,694971.0,1921077.0
180,708624.0,1914417.0
181,697302.0,1909755.0
182,682983.0,1908090.0
183,667332.0,1897101.0
184,683982.0,1894437.0
185,698301.0,1893105.0
186,710955.0,1903428.0
187,714285.0,1887777.0
188,683649.0,1881450.0
189,699633.0,1877121.0
190,692973.0,1865133.0
191,708957.0,1854477.0
192,709290.0,1868463.0
193,725940.0,1879452.0
194,726939.0,1859472.0
195,628704.0,1968363.0
196,553779.0,2017314.0
197,593406.0,2024640.0
198,576756.0,2024640.0
199,593406.0,2008656.0
200,577089.0,2008656.0
201,625707.0,2024307.0
202,609390.0,2024640.0
203,625707.0,2008656.0
204,609057.0,2007990.0
205,657675.0,2024640.0
206,641691.0,2024640.0
207,657342.0,2008656.0
208,641691.0,2008656.0
209,671328.0,2023641.0
210,687312.0,2004660.0
211,673659.0,2007990.0
212,554778.0,1993671.0
213,538128.0,1993005.0
214,554778.0,1979352.0
215,538128.0,1979352.0
216,586080.0,1994670.0
217,570429.0,1994004.0
218,586080.0,1981017.0
219,570429.0,1980351.0
220,616716.0,1995003.0
221,601398.0,1994670.0
222,616716.0,1981350.0
223,601731.0,1981017.0
224,648018.0,1995336.0
225,632367.0,1995336.0
226,648018.0,1982682.0
227,632700.0,1982349.0
228,680985.0,1995003.0
229,664002.0,1995669.0
230,680319.0,1984680.0
231,664335.0,1984680.0
232,691308.0,1995336.0
233,691308.0,1987677.0
234,639027.0,1966365.0
235,632367.0,1950048.0
236,648351.0,1948383.0
237,653346.0,1962036.0
238,649350.0,1933731.0
239,632700.0,1933398.0
240,649350.0,1918080.0
241,633699.0,1917081.0
242,660672.0,1934064.0
243,666333.0,1918080.0
244,650349.0,1901763.0
245,634365.0,1901097.0
246,650349.0,1885446.0
247,634365.0,1884780.0
248,665667.0,1906092.0
249,666333.0,1885446.0
250,611388.0,1850481.0
251,651015.0,1869462.0
252,635031.0,1868796.0
253,651348.0,1852812.0
254,635697.0,1852812.0
255,682650.0,1872459.0
256,666999.0,1869795.0
257,683982.0,1850481.0
258,667332.0,1853478.0
259,697635.0,1849482.0
260,651681.0,1836495.0
261,636363.0,1836162.0
262,652680.0,1820511.0
263,636030.0,1820178.0
264,684648.0,1837494.0
265,667998.0,1837494.0
266,684981.0,1821177.0
267,668664.0,1820511.0
268,717615.0,1837494.0
269,701298.0,1838160.0
270,717948.0,1820844.0
271,701631.0,1820844.0
272,730269.0,1837494.0
273,730602.0,1821177.0
274,685314.0,1804527.0
275,669663.0,1804527.0
276,685980.0,1788210.0
277,669996.0,1788210.0
278,717948.0,1804527.0
279,701631.0,1804527.0
280,718281.0,1788543.0
281,701964.0,1788543.0
282,730935.0,1797867.0
283,554112.0,1963701.0
284,538461.0,1962702.0
285,554778.0,1947384.0
286,538128.0,1946385.0
287,585414.0,1964034.0
288,570429.0,1963368.0
289,586080.0,1948716.0
290,570429.0,1947717.0
291,613386.0,1965033.0
292,601398.0,1965033.0
293,616716.0,1948716.0
294,600732.0,1948383.0
295,554112.0,1930401.0
296,538128.0,1930401.0
297,553779.0,1915083.0
298,538461.0,1914417.0
299,585747.0,1932066.0
300,570429.0,1931400.0
301,585747.0,1916082.0
302,570429.0,1915083.0
303,616716.0,1933065.0
304,601731.0,1932066.0
305,617715.0,1916415.0
306,601398.0,1916082.0
307,554112.0,1898433.0
308,537795.0,1898433.0
309,554445.0,1882449.0
310,538128.0,1881783.0
311,586080.0,1899099.0
312,570429.0,1899099.0
313,586413.0,1883448.0
314,570762.0,1882449.0
315,617715.0,1899765.0
316,602064.0,1899765.0
317,618381.0,1884780.0
318,602397.0,1884114.0
319,610056.0,1868130.0
320,457209.0,2016981.0
321,489177.0,2016981.0
322,529137.0,2024640.0
323,513153.0,2025306.0
324,529470.0,2008989.0
325,512820.0,2008656.0
326,451881.0,1985679.0
327,482850.0,1985679.0
328,522144.0,1993005.0
329,506493.0,1992339.0
330,521811.0,1978686.0
331,506493.0,1978686.0
332,452214.0,1954044.0
333,482850.0,1954710.0
334,522810.0,1962036.0
335,506493.0,1962369.0
336,522144.0,1946385.0
337,506826.0,1945386.0
338,451881.0,1921743.0
339,483183.0,1922742.0
340,522144.0,1930068.0
341,506826.0,1929402.0
342,522477.0,1914084.0
343,506160.0,1913751.0
344,451881.0,1889775.0
345,483516.0,1890774.0
346,522477.0,1897767.0
347,507159.0,1897434.0
348,522477.0,1881783.0
349,507159.0,1880784.0
350,558108.0,2145519.0
351,592740.0,2152179.0
352,576090.0,2151513.0
353,593073.0,2137527.0
354,577422.0,2137194.0
355,617715.0,2145186.0
356,646353.0,2151846.0
357,646020.0,2137194.0
358,559107.0,2113884.0
359,593406.0,2120877.0
360,576756.0,2120877.0
361,593406.0,2105559.0
362,576756.0,2105226.0
363,626373.0,2120211.0
364,609723.0,2120877.0
365,625707.0,2105226.0
366,609057.0,2105559.0
367,646353.0,2121210.0
368,643689.0,2105559.0
369,558441.0,2081583.0
370,593073.0,2089242.0
371,577089.0,2089242.0
372,593073.0,2072259.0
373,577089.0,2073258.0
374,625374.0,2088909.0
375,609390.0,2088576.0
376,625707.0,2073924.0
377,609057.0,2072925.0
378,641691.0,2088909.0
379,643689.0,2072259.0
380,558441.0,2049615.0
381,592740.0,2056941.0
382,577089.0,2057274.0
383,593406.0,2041290.0
384,577089.0,2040291.0
385,626040.0,2056941.0
386,609390.0,2057274.0
387,625707.0,2041623.0
388,609390.0,2041623.0
389,645687.0,2056275.0
390,657675.0,2041623.0
391,641691.0,2040624.0
392,424575.0,2145186.0
393,456876.0,2144853.0
394,488511.0,2144187.0
395,521145.0,2144520.0
396,542457.0,2145519.0
397,424575.0,2113884.0
398,456543.0,2113884.0
399,488511.0,2113884.0
400,529137.0,2120544.0
401,513153.0,2120877.0
402,529137.0,2105559.0
403,513153.0,2105226.0
404,542457.0,2113884.0
405,424908.0,2082249.0
406,456543.0,2081916.0
407,488844.0,2081583.0
408,529137.0,2089242.0
409,512487.0,2088576.0
410,529470.0,2073258.0
411,512820.0,2071926.0
412,542457.0,2082249.0
413,424575.0,2050281.0
414,456876.0,2050281.0
415,488844.0,2050281.0
416,528804.0,2056941.0
417,513153.0,2056608.0
418,529137.0,2040291.0
419,512820.0,2040291.0
420,542457.0,2049615.0
421,554445.0,1866132.0
422,538461.0,1866132.0
423,554445.0,1849815.0
424,538794.0,1849815.0
425,587079.0,1867464.0
426,570429.0,1866465.0
427,587412.0,1850814.0
428,571428.0,1850481.0
429,555111.0,1833831.0
430,539460.0,1832832.0
431,555111.0,1817514.0
432,540126.0,1817514.0
433,588078.0,1834830.0
434,571761.0,1834497.0
435,588078.0,1818846.0
436,572094.0,1818180.0
437,619713.0,1836162.0
438,604062.0,1835829.0
439,620046.0,1819512.0
440,604062.0,1818846.0
441,556443.0,1801530.0
442,540459.0,1800864.0
443,556776.0,1785879.0
444,540459.0,1785213.0
445,588411.0,1802862.0
446,572427.0,1801530.0
447,589077.0,1786212.0
448,573093.0,1786212.0
449,620379.0,1803861.0
450,605061.0,1803195.0
451,621045.0,1787544.0
452,605061.0,1787211.0
453,653013.0,1804194.0
454,637029.0,1804194.0
455,654012.0,1788210.0
456,637029.0,1788210.0
457,549783.0,1762236.0
458,581418.0,1763568.0
459,614385.0,1763901.0
460,647019.0,1764234.0
461,678987.0,1764900.0
462,718281.0,1772226.0
463,702630.0,1772559.0
464,718614.0,1756908.0
465,702297.0,1756908.0
466,731268.0,1765566.0
467,550782.0,1730268.0
468,582417.0,1731267.0
469,615051.0,1732266.0
470,647352.0,1733265.0
471,679986.0,1733598.0
472,711288.0,1733598.0
473,731268.0,1734264.0
474,551448.0,1697967.0
475,583749.0,1698966.0
476,451881.0,1855809.0
477,482517.0,1858806.0
478,515151.0,1857141.0
479,452547.0,1822842.0
480,484182.0,1825173.0
481,516816.0,1824174.0
482,453213.0,1790874.0
483,485181.0,1791207.0
484,517482.0,1792206.0
485,453879.0,1758906.0
486,485514.0,1758906.0
487,517149.0,1761237.0
488,455877.0,1726938.0
489,487512.0,1724940.0
490,518481.0,1729935.0
491,455544.0,1693305.0
492,487512.0,1693638.0
493,519480.0,1695969.0
494,455544.0,1661004.0
495,487179.0,1661670.0
496,520146.0,1662669.0
497,616050.0,1698300.0
